tpep_pickup_datetime,region_number,n
2016-06-01 03:00:00,1493,1
2016-06-01 03:00:00,1495,1
2016-06-01 03:00:00,1523,1
2016-06-01 03:00:00,1525,1
2016-06-01 03:00:00,1530,4
2016-06-01 03:00:00,1531,2
2016-06-01 03:00:00,1532,8
2016-06-01 03:00:00,1533,4
2016-06-01 03:00:00,1538,1
2016-06-01 03:00:00,1541,1
2016-06-01 03:00:00,1545,1
2016-06-01 03:00:00,1576,1
2016-06-01 03:00:00,1580,3
2016-06-01 03:00:00,1581,3
2016-06-01 03:00:00,1629,1
2016-06-01 03:00:00,1630,7
2016-06-01 03:00:00,1631,1
2016-06-01 03:00:00,1679,1
2016-06-01 03:00:00,1680,5
2016-06-01 03:00:00,1681,1
2016-06-01 03:00:00,1729,1
2016-06-01 03:00:00,1733,1
2016-06-01 03:00:00,1734,44
2016-06-01 03:00:00,1778,1
2016-06-01 03:00:00,1781,1
2016-06-01 03:00:00,1831,1
2016-06-01 03:00:00,1840,1
2016-06-01 03:00:00,1880,1
2016-06-01 03:00:00,1932,1
2016-06-01 03:00:00,2019,1
2016-06-01 03:00:00,2025,1
2016-06-01 03:00:00,2028,1
2016-06-01 03:00:00,2068,13
2016-06-01 03:00:00,2069,4
2016-06-01 03:00:00,2118,51
2016-06-01 03:00:00,2119,1
2016-06-01 03:00:00,2273,1
2016-06-01 04:00:00,913,1
2016-06-01 04:00:00,1066,1
2016-06-01 04:00:00,1075,1
2016-06-01 04:00:00,1076,8
2016-06-01 04:00:00,1077,3
2016-06-01 04:00:00,1125,6
2016-06-01 04:00:00,1126,26
2016-06-01 04:00:00,1127,27
2016-06-01 04:00:00,1128,46
2016-06-01 04:00:00,1129,54
2016-06-01 04:00:00,1130,129
2016-06-01 04:00:00,1131,11
2016-06-01 04:00:00,1132,4
2016-06-01 04:00:00,1172,1
2016-06-01 04:00:00,1173,7
2016-06-01 04:00:00,1174,6
2016-06-01 04:00:00,1175,1
2016-06-01 04:00:00,1176,1
2016-06-01 04:00:00,1177,44
2016-06-01 04:00:00,1178,53
2016-06-01 04:00:00,1179,55
2016-06-01 04:00:00,1180,58
2016-06-01 04:00:00,1181,96
2016-06-01 04:00:00,1182,120
2016-06-01 04:00:00,1183,10
2016-06-01 04:00:00,1184,2
2016-06-01 04:00:00,1222,2
2016-06-01 04:00:00,1223,6
2016-06-01 04:00:00,1224,10
2016-06-01 04:00:00,1227,41
2016-06-01 04:00:00,1228,98
2016-06-01 04:00:00,1229,48
2016-06-01 04:00:00,1230,64
2016-06-01 04:00:00,1231,83
2016-06-01 04:00:00,1232,159
2016-06-01 04:00:00,1233,50
2016-06-01 04:00:00,1234,30
2016-06-01 04:00:00,1235,9
2016-06-01 04:00:00,1267,1
2016-06-01 04:00:00,1268,1
2016-06-01 04:00:00,1272,2
2016-06-01 04:00:00,1273,1
2016-06-01 04:00:00,1278,3
2016-06-01 04:00:00,1279,4
2016-06-01 04:00:00,1280,28
2016-06-01 04:00:00,1281,74
2016-06-01 04:00:00,1282,73
2016-06-01 04:00:00,1283,10
2016-06-01 04:00:00,1284,3
2016-06-01 04:00:00,1285,30
2016-06-01 04:00:00,1286,26
2016-06-01 04:00:00,1287,6
2016-06-01 04:00:00,1313,1
2016-06-01 04:00:00,1319,2
2016-06-01 04:00:00,1320,1
2016-06-01 04:00:00,1325,1
2016-06-01 04:00:00,1326,13
2016-06-01 04:00:00,1327,1
2016-06-01 04:00:00,1331,2
2016-06-01 04:00:00,1332,43
2016-06-01 04:00:00,1333,39
2016-06-01 04:00:00,1334,16
2016-06-01 04:00:00,1335,3
2016-06-01 04:00:00,1336,5
2016-06-01 04:00:00,1337,11
2016-06-01 04:00:00,1338,6
2016-06-01 04:00:00,1369,1
2016-06-01 04:00:00,1372,2
2016-06-01 04:00:00,1374,1
2016-06-01 04:00:00,1376,6
2016-06-01 04:00:00,1377,2
2016-06-01 04:00:00,1378,3
2016-06-01 04:00:00,1380,4
2016-06-01 04:00:00,1382,4
2016-06-01 04:00:00,1383,25
2016-06-01 04:00:00,1384,57
2016-06-01 04:00:00,1385,33
2016-06-01 04:00:00,1386,5
2016-06-01 04:00:00,1387,11
2016-06-01 04:00:00,1388,9
2016-06-01 04:00:00,1389,5
2016-06-01 04:00:00,1390,7
2016-06-01 04:00:00,1425,2
2016-06-01 04:00:00,1426,2
2016-06-01 04:00:00,1431,13
2016-06-01 04:00:00,1432,3
2016-06-01 04:00:00,1433,1
2016-06-01 04:00:00,1435,5
2016-06-01 04:00:00,1436,11
2016-06-01 04:00:00,1437,7
2016-06-01 04:00:00,1438,4
2016-06-01 04:00:00,1439,1
2016-06-01 04:00:00,1441,1
2016-06-01 04:00:00,1442,1
2016-06-01 04:00:00,1474,3
2016-06-01 04:00:00,1475,3
